Book Name,Author,Rating,User Rates,Price
"Capture Your Style: How to Transform Your Instagram Images and Bu: How to Transform Your Instagram Images and Build the Ultimate Platform: Transform ... Your Life, and Build the Ultimate Platform",Aimee Song,4.5,362,298.7
Release It! Design and Deploy Production-Ready Software,Michael T Nygard,4.7,115,643.24
Veritabanı Yönetim Sistemleri 1,Turgut Özseven,4.7,4,78.6
Human Compatible: AI and the Problem of Control,Stuart Russell,4.5,150,207.14
Social Media Marketing: Theories and Applications,Stephan Dahl,5.0,1,843.06
World of Warcraft: Chronicle Volume 1,BLIZZARD ENTERTAINMENT,4.8,2017,490.29
Konteynerlar ve Docker: Docker Kullanarak Konteyner Sistemlerine Giriş,Güray Yıldırım,5.0,4,51.23
Introduction to the Theory of Computation,Michael Sipser,4.4,139,395.0
"The Emperor's New Mind: Concerning Computers, Minds, and the Laws of Physics (Oxford Landmark Science)",Roger Penrose,4.7,161,289.64
"Grafik Tasarımda Tasarım Fikri: Grafik Tasarım Temelleri - 10, Fotoğraflı",Gavin Ambrose,5.0,1,89.25
"Essential SAT Vocabulary, 2nd Edition: Flashcards + Online: 500 Essential Vocabulary Words to Help Boost Your SAT Score (College Test Preparation)",The Princeton Review,4.6,193,371.26
"Art of God of War, The ;",Sony Computer Entertainment,4.9,1178,439.61
Hit Refresh,Satya Nadella,4.5,869,647.6
The Personal MBA: A World-Class Business Education in a Single Volume,Josh Kaufman,4.5,1023,191.41
Design Patterns in C#: A Hands-on Guide with Real-World Examples,Vaskaran Sarcar,4.6,3,555.96
"Creating Signature Stories: Strategic Messaging that Energizes, Persuades and Inspires",David Aaker,4.4,29,349.46
"The Practice of Computing Using Python, Global Edition",Richard J Enbody,5.0,1,449.9
Etik Hackerlığa Giriş 2,Vahap Eren,5.0,2,21.98
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,Peter Bruce,4.5,219,832.08
Simulink 10.1 ve Uygulamaları,Uğur Arifoğlu,5.0,2,52.44
The Art of Ghost of Tsushima,Sucker Punch Productions,4.7,684,510.0
Clean Agile: Back to Basics (Robert C. Martin),Robert C. Martin,4.8,143,496.21
Bilgisayar Donanımı,Ebubekir Yaşar,5.0,1,78.6
Mühendislik Mekaniği - Dinamik (Ekonomik Baskı),R. C. Hibbeler,5.0,2,117.75
Rabid: A Cultural History of the World's Most Diabolical Virus,Bill Wasik  Monica Murphy,4.5,142,206.06
Mühendislik Mekaniği Statik,R. C. Hibbeler,5.0,8,148.75
Kendini Değiştiren Beyin: Beyin Biliminin Sınırlarından Kişisel Başarı Öyküleri,Norman Doidge,4.3,5,37.46
Transport Processes and Separation Process Principles (Includes Unit Operations),Christie John Geankoplis,4.4,41,421.35
London by Design: The Iconic Transport Designs that Shaped our City,London Transport Museum,4.8,18,85.86
